Water,CompressiveStrength
210,34.99
180,41.14
179,41.81
179,42.08
220,26.82
202,25.21
168,38.86
240,36.59
204,32.71
214,38.46
208,26.02
193,28.03
215,31.37
234,33.91
190,32.44
175,34.05
200,28.29
206,41.01
168,49.3
219,29.23
196,29.77
218,36.19
183,18.52
192,17.19
174,36.72
183,33.38
217,42.08
208,39.4
201,41.27
207,41.14
190,45.82
230,43.95
191,52.65
202,35.52
226,34.45
184,43.54
194,33.11
182,18.26
174,34.99
180,33.78
209,35.66
234,33.51
203,33.51
205,27.62
186,30.97
210,31.77
207,37.39
188,43.01
160,58.53
174,52.65
188,45.69
225,32.04
193,36.46
218,38.59
186,45.42
208,19.19
189,31.5
205,29.63
217,26.42
237,29.5
205,32.71
177,39.93
210,28.29
231,30.43
195,37.39
175,35.39
168,37.66
183,40.34
211,46.36
222,31.9
180,44.08
220,28.16
196,29.77
207,41.27
209,27.89
193,28.7
176,32.57
201,34.18
174.9,30.83
188.8,30.43
193.9,26.42
207.8,26.28
233.5,36.19
169.4,36.32
171.3,33.78
182.5,30.97
200.8,27.09
234.2,38.46
168.1,37.92
167.3,38.19
179.9,35.52
200.4,32.84
236.4,44.48
166,41.54
166.4,41.81
179,41.01
198.7,39.13
236.2,44.08
168.9,49.97
169.1,50.23
175.3,50.5
194,49.17
208.5,48.77
