age,income,expenditure,homeowner,selfemp,dependents
37.66667,4.52,124.9833,yes,no,3
33.25,2.42,9.854167,no,no,3
33.66667,4.5,15,yes,no,4
30.5,2.54,137.8692,no,no,0
32.16667,9.7867,546.5033,yes,no,2
23.25,2.5,91.99667,no,no,0
27.91667,3.96,40.83333,no,no,2
29.16667,2.37,150.79,yes,no,0
37,3.8,777.8217,yes,no,0
28.41667,3.2,52.58,no,no,0
30.5,3.95,256.6642,yes,no,1
28.83333,2.45,78.87417,yes,no,0
35.33333,1.908,42.615,yes,no,2
41.16667,3.2,335.435,yes,no,1
40.08333,4,248.7192,yes,no,2
39.5,9.9999,548.035,yes,yes,0
35.25,2.35,43.33917,yes,no,2
34.25,2,218.52,yes,no,0
35.75,4,170.6408,no,no,2
42.66667,5.14,37.58333,yes,no,2
30.25,4.506,502.2017,no,no,2
22.25,1.5,73.17667,no,no,0
40,5.5,1532.773,yes,no,4
21.83333,2.0272,42.69083,no,no,0
29.41667,3.2,417.835,no,no,0
21,2.4663,552.7242,yes,no,1
23.83333,3,222.5392,no,no,0
42.83333,3.5412,541.2958,yes,no,6
36.58333,5.7,568.7742,yes,no,1
26.75,3.5,344.4708,no,no,0
27.75,4.6,405.3517,yes,no,4
26.25,3,310.9375,yes,no,0
23.33333,2.585,53.645,no,no,0
29.91667,1.51,63.91667,no,no,1
30,1.85,165.855,no,no,0
38.33333,2.6,9.583333,no,no,0
35.58333,2,319.49,no,no,0
26.08333,2.35,83.08334,no,no,1
27.75,7,644.8283,yes,no,0
24.25,2,93.1975,no,no,0
20.66667,1.7,105.045,no,no,0
23.75,2.8,34.125,no,no,2
25.75,2.4,41.18917,no,no,0
32.91667,3,169.8883,no,no,0
34.33333,4.8,1898.033,no,no,3
33.25,3.18,810.3917,no,no,4
21.16667,1.5,32.775,no,no,0
25.08333,3,95.79916,no,no,0
27.16667,2.28,27.78,no,no,3
26.41667,2.8,215.0692,no,no,1
22,2.7,79.51083,no,no,0
40.75,6,306.0317,no,yes,2
42.08333,3.9,104.5358,no,no,0
24.66667,3.074,642.4742,no,no,0
30.75,2.4585,308.0492,yes,no,2
27.41667,2,186.3533,no,no,0
33,3.248,56.14917,no,no,2
37.33333,2.725,129.3733,no,no,2
26.58333,2.2,93.10667,no,no,0
24.25,3.75,292.6633,no,no,0
25.25,2.88,98.46416,no,no,0
0.5,3.05,258.5492,no,no,1
32.83333,2.55,101.6833,no,no,2
54.58333,2.64,65.24667,yes,no,1
19.58333,1.65,108.6075,no,no,0
29.33333,2.4,49.55583,no,no,0
40.75,7.24,235.5717,yes,no,2
43.41667,2.4,68.38417,no,no,0
32.66667,6,474.15,yes,no,0
25.41667,3.6,234.0483,no,no,2
26.25,5,451.205,yes,no,0
46,5.5,251.5208,yes,no,2
35,9.9999,917.54,yes,no,0
25.16667,1.8,147.7233,no,no,0
31.25,4.2,166.7267,yes,no,0
23.16667,3.92,741.5042,no,no,0
23,3.625,106.1692,no,no,1
24.83333,2.48,271.4675,no,no,0
40.91667,9.9999,635.0508,yes,no,3
43.66667,10.0393,182.825,yes,no,1
23.08333,2.95,89.37083,yes,no,0
41.91667,5,1011.333,no,no,1
28.16667,2.4,227.3683,no,no,0
45.58333,13.5,115.4167,yes,no,2
37.33333,3.9,297.9717,no,no,0
37.66667,2,101.2625,yes,no,3
30.25,2.15,56.69417,no,no,0
21.25,3,77.35667,no,no,2
40.08333,4.3,122.515,no,no,0
21.83333,2.5,13.4025,no,no,0
22.16667,3,127.5342,no,no,0
40.83333,2.6,8.333333,yes,no,0
18.66667,1.66,78.42834,yes,no,0
34.33333,4.5,11.16667,yes,yes,4
25.08333,5,131.8783,no,no,0
20.08333,1.74,277.9892,no,no,0
24.75,1.875,126.0225,no,no,1
41.91667,3,238.8558,yes,no,3
24.25,2.13,37.08333,no,no,1
21.83333,1.68,156.5833,no,no,0
18.41667,1.968,9.753333,no,no,0
22,3.3,108.3967,no,no,0
21.41667,1.5896,271.5533,no,no,0
42,3.6,53.30167,no,yes,0
36.41667,3,282.5633,no,no,2
41.5,3.8,263.3275,no,no,0
26.5,3.36,6.5175,no,no,0
43.08333,7.8,43.03917,yes,no,0
30.33333,2.5,73.7975,yes,yes,3
25.08333,1.5,15.41667,no,no,1
35.66667,3.5822,313.3525,yes,no,1
44.5,4,59.19417,yes,no,0
43.25,6.72,175.9975,yes,no,3
50,4.3,129.3933,yes,yes,1
31.75,3.5,30.36917,yes,no,1
24.91667,2.4,461.26,no,no,1
49.66667,2.7,199.7333,yes,no,0
28.33333,6.6,38.71416,no,no,2
26.5,2.7,92.26334,no,no,0
29.41667,4.1,145.3792,no,no,0
71.83334,7.701,400.9117,yes,no,1
24.5,2.8,138.7133,no,no,0
25.08333,3.12,110.3033,no,no,2
24.91667,2.3,54.64667,no,no,0
